,id,namesFormula,EC,deltaMass
0,R00006,C00022 -> C00900,['2.2.1.6'],44.0525
1,R00008,C00022 -> C06033,['4.1.3.17'],88.062
2,R00010,C00031 -> C01083,['3.2.1.28'],162.1406
3,R00012,C00044 -> C01261,['2.7.7.45'],345.2054
4,R00013,C00048 -> C01146,['4.1.1.47'],30.026
5,R00014,C00068 -> C05125,"['4.1.1.1', '2.2.1.6', '1.2.4.1']",44.0525
6,R00014,C00022 -> C05125,"['4.1.1.1', '2.2.1.6', '1.2.4.1']",381.3048
7,R00015,C00031 -> C00089,['2.4.1.99'],162.1406
8,R00015,C00089 -> C03661,['2.4.1.99'],162.1406
9,R00018,C00134 -> C06366,['2.5.1.44'],71.1209
10,R00021,C00025 -> C00026,['1.4.7.1'],1.0312
11,R00021,C00025 -> C00064,['1.4.7.1'],0.9848
12,R00022,C00140 -> C01674,['3.2.1.52'],203.1925
13,R00024,C00197 -> C01182,['4.1.1.39'],124.0325
14,R00025,C00088 -> C18091,"['1.13.12.16', '1.13.11.32']",27.0453
15,R00025,C00084 -> C18091,"['1.13.12.16', '1.13.11.32']",30.0061
16,R00026,C00185 -> C00221,['3.2.1.21'],162.1406
17,R00027,C00261 -> C01408,['4.1.2.38'],106.122
18,R00028,C00208 -> C00267,"['3.2.1.20', '3.2.1.3']",162.1406
19,R00031,C00082 -> C00355,"['1.10.3.1', '1.14.18.1']",15.9994
20,R00032,C00376 -> C02094,"['1.13.11.63', '1.14.99.36']",252.4369
21,R00033,C00378 -> C05856,['1.1.3.23'],2.0159
22,R00036,C00430 -> C00931,['4.2.1.24'],95.0993
23,R00038,C00479 -> C02948,['4.1.2.35'],58.0792
24,R00039,C00492 -> C08242,['2.4.1.166'],162.1406
25,R00039,C00089 -> C00492,['2.4.1.166'],162.1406
26,R00042,C00642 -> C01179,['1.2.3.13'],28.0101
27,R00043,C00755 -> C04547,['1.13.11.43'],120.1485
28,R00044,C00757 -> C01795,['1.21.3.2'],2.0159
29,R00045,C00355 -> C00822,"['1.10.3.1', '1.14.18.1']",2.0158
30,R00048,C01089 -> C04546,['3.1.1.22'],86.0893
31,R00049,C00031 -> C01158,['2.3.1.90'],152.1042
32,R00049,C01158 -> C04101,['2.3.1.90'],152.1043
33,R00053,C01424 -> C01572,['3.1.1.20'],152.1043
34,R00054,C01839 -> C02868,['3.1.1.40'],150.1315
35,R00055,C00294 -> C01993,['1.1.3.28'],2.0159
36,R00058,C00090 -> C02351,"['1.10.3.1', '1.14.18.1']",2.0158
37,R00059,C01255 -> C02378,['3.5.1.46'],113.1577
38,R00060,C00495 -> C03036,['1.21.3.4'],2.0158
39,R00061,C00495 -> C03040,['1.21.3.5'],2.0158
40,R00062,C03374 -> C05787,['2.4.1.95'],176.1241
41,R00062,C00486 -> C03374,['2.4.1.95'],176.1242
42,R00063,C00031 -> C01175,['2.3.1.103'],206.1947
43,R00063,C01175 -> C04275,['2.3.1.103'],206.1947
44,R00066,C04332 -> C04732,['2.5.1.9'],50.0587
45,R00066,C00255 -> C04332,['2.5.1.9'],50.0587
46,R00068,C00072 -> C05422,['1.10.3.3'],2.0159
47,R00069,C03680 -> C05565,['1.17.3.2'],15.9994
48,R00072,C02892 -> C05856,['1.1.3.23'],15.9994
49,R00073,C00427 -> C05956,['1.14.99.1'],15.9994
50,R00074,C01987 -> C02161,['1.10.3.4'],103.0782
51,R00075,C00019 -> C00170,['2.5.1.43'],101.1039
52,R00080,C00090 -> C03861,"['1.1.3.14', '1.10.3.1']",104.063
53,R00084,C00931 -> C01024,['2.5.1.61'],628.5806
54,R00093,C00025 -> C00026,"['1.4.1.14', '1.4.1.13']",1.0312
55,R00093,C00025 -> C00064,"['1.4.1.14', '1.4.1.13']",0.9848
56,R00094,C00051 -> C00127,['1.8.1.7'],305.3076
57,R00097,C00541 -> C00992,"['1.16.1.3', '1.5.1.41']",18.0153
58,R00099,C00541 -> C00853,['1.16.1.4'],1.0079
59,R00105,C00004 -> C00005,['2.7.1.86'],79.9799
60,R00107,C00541 -> C00992,['1.16.1.5'],18.0153
61,R00111,C00327 -> C05933,"['1.14.13.165', '1.14.13.39']",15.0147
62,R00111,C00533 -> C05933,"['1.14.13.165', '1.14.13.39']",160.1943
63,R00112,C00005 -> C00006,"['1.6.1.1', '1.6.1.2', '1.6.1.3']",1.008
64,R00114,C00025 -> C00026,"['1.4.1.14', '1.4.1.13']",1.0312
65,R00114,C00025 -> C00064,"['1.4.1.14', '1.4.1.13']",0.9848
66,R00115,C00051 -> C00127,['1.8.1.7'],305.3076
67,R00119,C00006 -> C00153,"['3.2.2.6', '2.4.99.20']",622.2883
68,R00120,C00051 -> C00127,['1.8.3.3'],305.3076
69,R00129,C00004 -> C04856,['4.2.1.93'],18.0153
70,R00130,C00010 -> C00882,"['2.7.7.3', '2.7.1.24']",79.9799
71,R00139,C11038 -> C11039,['2.7.4.6'],79.9799
72,R00140,C03997 -> C11038,['2.7.4.12'],79.9799
73,R00155,C00015 -> C00105,"['3.6.1.5', '3.6.1.6']",79.9799
74,R00156,C00015 -> C00075,"['2.7.4.3', '2.7.4.6']",79.9799
75,R00157,C00015 -> C00075,['2.7.4.10'],79.9799
76,R00158,C00015 -> C00105,"['6.3.2.1', '2.7.4.4', '2.7.4.14', '2.7.4.22']",79.9799
77,R00159,C00015 -> C00075,"['3.6.1.39', '3.6.1.5']",79.9799
78,R00160,C00016 -> C00061,"['3.6.1.18', '3.6.1.9', '3.6.1.13', '3.1.4.1']",329.2059
79,R00161,C00016 -> C00061,"['2.7.1.26', '2.7.7.2']",329.2059
80,R00173,C00018 -> C00250,['3.1.3.74'],79.9799
81,R00174,C00018 -> C00250,['2.7.1.35'],79.9799
82,R00175,C00019 -> C00263,['3.3.1.2'],279.3182
